List_Number,Close_of_Escrow_Date,Sold_Price,Zip_Code,Approx_SQFT,#_Bedrooms,#_Bathrooms
5903909,1/17/2020,2726673,85253,6521,6,6.5
5906017,1/31/2020,510000,85118,2382,3,3
5907625,1/15/2020,499900,85340,2971,4,2.5
5905364,1/7/2020,2786500,85018,5735,5,5.5
5905120,1/22/2020,264495,85353,1912,4,2
5908935,1/31/2020,4350000,85255,7924,6,7
5906522,1/15/2020,700000,85268,3562,3,2.5
5907769,1/31/2020,1025000,85254,4790,4,4.5
5906247,1/15/2020,333000,85383,2457,3,2
5906352,1/23/2020,420000,85003,1800,2,2.5
5907324,1/30/2020,621677,85295,3150,5,4
5907195,1/27/2020,900000,85255,2748,4,2.5
5907790,1/27/2020,338397,85383,1447,2,2
5908132,1/14/2020,1650000,85018,4833,4,3.5
5909777,1/13/2020,1650000,85259,6000,5,5.5
5916335,1/31/2020,1200000,85255,6120,3,6
5908192,1/3/2020,452500,85284,2763,4,3
5910909,1/8/2020,550000,85251,2377,2,2
5908710,1/9/2020,515283,85260,2243,2,2.5
5911397,1/17/2020,1275000,85260,3520,3,3.5
5913360,1/24/2020,212000,85015,1354,3,3
5908906,1/29/2020,219900,85301,1610,5,2
5929326,1/31/2020,599000,85014,2596,4,3.5
5917195,1/16/2020,899500,85266,3709,3,3.5
5910868,1/31/2020,584990,85024,3489,5,4
6005781,1/27/2020,170000,85351,1000,2,1
6016155,1/24/2020,255000,85041,1687,3,2
5913793,1/16/2020,510000,85086,2480,4,2.5
5938947,1/10/2020,249900,85302,1711,4,2
5914008,1/29/2020,265990,85353,1912,4,2
5914027,1/30/2020,272000,85353,2006,3,2
5914565,1/10/2020,55000,85374,508,1,1
5914652,1/23/2020,1200000,85251,4260,4,4.5
5995050,1/17/2020,365000,85268,2138,4,2.5
5916173,1/13/2020,1100000,85224,4499,6,4.5
5918296,1/7/2020,224000,85003,858,1,1
5926177,1/6/2020,425000,85248,2363,3,3
5916455,1/24/2020,542000,85308,2988,4,3
5916185,1/21/2020,685685,85298,4345,4,4.5
5917938,1/31/2020,990000,85262,5498,5,5.5
5917573,1/31/2020,724457,85212,3610,4,3.5
5927941,1/2/2020,445000,85355,2704,4,3
6016528,1/31/2020,137000,85032,685,1,1
5917878,1/27/2020,523946,85207,2331,4,2
5918012,1/31/2020,322749,85392,2298,4,2
5918822,1/10/2020,388168,85361,2789,4,2.5
5918437,1/10/2020,158500,85017,990,2,1
5928322,1/9/2020,567500,85250,1808,2,2
5922387,1/7/2020,505000,85118,1924,3,2
5919866,1/10/2020,375000,85249,3437,4,3.5
5920626,1/29/2020,505000,85298,2740,3,2
5998948,1/31/2020,325000,85087,3613,4,3
5920736,1/15/2020,370990,85387,3188,5,4
5921303,1/27/2020,288360,85120,1808,3,2.5
5922034,1/15/2020,725000,85207,4791,3,4.5
5926473,1/3/2020,276000,85281,1525,2,2
5921967,1/21/2020,774417,85268,1734,2,2.5
5929059,1/14/2020,290000,85392,2174,4,3
5922203,1/10/2020,327000,85326,2028,4,2
5922738,1/21/2020,2230196,85253,2986,3,3.5
5927767,1/15/2020,340000,85387,2014,2,2
6011331,1/31/2020,336500,85298,1572,3,2
5924351,1/3/2020,750000,85259,3387,3,2.5
5925931,1/7/2020,405000,85083,3638,4,3.5
5923540,1/6/2020,2875000,85018,5608,5,5.5
5923555,1/18/2020,222900,85326,1795,3,2
5923912,1/28/2020,505000,85204,5893,6,5.5
5949778,1/17/2020,525000,85018,2611,4,3
5927421,1/31/2020,250850,85040,1889,3,2.5
5924732,1/22/2020,435000,85050,2151,4,2
5924811,1/22/2020,260000,85118,1935,3,3
5924913,1/29/2020,317400,85014,2342,2,1
5926388,1/6/2020,915000,85297,3912,4,3.5
5925938,1/17/2020,1600000,85266,6651,5,5.5
5927160,1/28/2020,350000,85282,2182,5,2
5927132,1/7/2020,1950000,85255,4408,5,5
5926017,1/28/2020,402500,85209,1993,2,2.5
5925795,1/23/2020,554150,85251,1960,2,2.5
5928877,1/1/2020,472500,85395,4382,5,3.5
5926476,1/29/2020,360000,85379,3220,4,2.5
5958931,1/15/2020,285000,85301,2325,5,2.5
5928276,1/2/2020,662500,85018,2483,4,3
5928543,1/17/2020,544995,85296,2990,5,3
5928567,1/14/2020,304910,85225,1969,3,2.5
5929959,1/29/2020,835000,85016,2836,3,2
5942825,1/21/2020,565000,85254,2577,4,2
5929060,1/14/2020,392000,85263,1528,2,2
5936368,1/30/2020,349000,85209,2123,2,2.5
5929857,1/24/2020,1575000,85255,3401,4,4.5
5930027,1/8/2020,655000,85266,3051,3,2.5
5930966,1/23/2020,790000,85266,3545,4,3
5932939,1/15/2020,463000,85044,2137,3,3
5935504,1/16/2020,224900,85032,1488,4,2
5931921,1/16/2020,176890,85041,1404,4,2
5932185,1/24/2020,369000,85388,3755,4,2.5
5996328,1/24/2020,212000,85037,1651,4,2
5937176,1/10/2020,460500,85338,3216,3,2.5
5932565,1/15/2020,1075000,85383,3834,3,3.5
5932823,1/31/2020,449000,85248,1489,2,2
6010304,1/30/2020,299000,85050,1325,3,2
5969957,1/3/2020,710000,85018,3273,4,3.5
5936395,1/6/2020,625000,85286,4370,4,3.5
5934473,1/31/2020,293869,85338,2222,4,2
5980664,1/24/2020,480000,85383,3078,5,3.5
5933848,1/31/2020,628500,85308,4147,5,4
5934304,1/17/2020,580000,85050,2725,3,2.5
5934113,1/6/2020,235000,85032,1200,2,1
5937399,1/13/2020,880000,85383,4544,4,3.5
5965072,1/14/2020,1190000,85253,2783,4,3
5934750,1/24/2020,185000,85003,720,1,1
5934435,1/17/2020,1100000,85383,3982,4,3.5
5935419,1/10/2020,977500,85018,2645,4,3.5
5936653,1/29/2020,439500,85383,3183,5,3.5
5934941,1/15/2020,290201,85140,2560,4,3
6016057,1/20/2020,65000,85206,434,1,1.5
5940037,1/30/2020,689000,85083,4169,5,4
5935405,1/21/2020,260290,85140,1660,4,2
5935501,1/29/2020,259990,85043,1580,3,2
5935643,1/10/2020,512000,85085,2520,3,2.5
5935662,1/10/2020,300000,85281,1494,3,2
5938138,1/20/2020,365000,85085,1759,3,2
5945449,1/8/2020,1400000,85251,2819,3,2.5
5936314,1/31/2020,750000,85255,3014,5,4
5936816,1/3/2020,402000,85251,845,1,1
5936991,1/10/2020,460000,85387,2866,4,3.5
5985090,1/17/2020,475000,85305,4004,5,3.5
5938950,1/30/2020,540000,85383,3735,4,3.5
5937268,1/31/2020,325000,85326,2000,4,2
5937270,1/30/2020,325000,85326,2000,4,2
5937271,1/2/2020,325000,85326,2000,4,2
5990823,1/28/2020,475000,85308,2540,4,2
5973583,1/30/2020,2987500,85253,7012,4,5
5949175,1/9/2020,195000,85351,1683,2,2
5940345,1/9/2020,442999,85395,2781,3,2.5
5938081,1/31/2020,415000,85048,3149,5,3
6010912,1/31/2020,337000,85338,2828,4,2.5
5937915,1/31/2020,440000,85248,2204,2,2
5938109,1/23/2020,157500,85251,932,2,2
5937790,1/30/2020,558990,85257,2352,3,3.5
5939595,1/21/2020,220000,85009,1305,3,2
5937836,1/30/2020,411170,85383,3418,5,3.5
5988493,1/21/2020,375200,85249,3013,4,2.5
5937845,1/29/2020,385820,85383,3020,5,4.5
5937927,1/10/2020,805000,85331,3076,4,3.5
5938946,1/24/2020,603000,85248,3244,5,3
5946367,1/28/2020,402000,85340,3722,5,5
5940961,1/3/2020,520000,85284,3458,5,3.5
5944862,1/31/2020,575000,85255,1920,3,2
5954746,1/10/2020,3945000,85253,6833,6,6.5
5965154,1/8/2020,250000,85395,1829,4,2.5
5942075,1/16/2020,263000,85379,2607,4,3
5940500,1/7/2020,194000,85013,1203,2,1
5939109,1/29/2020,66000,85031,980,2,1.5
5939719,1/30/2020,78000,85033,640,1,1
5996818,1/3/2020,432500,85018,1648,3,2
5960002,1/8/2020,254900,85374,1860,2,1.75
5939521,1/29/2020,197000,85040,1470,3,2
5940025,1/28/2020,490000,85298,4830,5,3.5
5940916,1/10/2020,1125000,85018,4098,4,5.5
5940164,1/29/2020,275000,85379,2092,4,3
5940934,1/30/2020,535000,85119,2792,3,2.5
5998220,1/10/2020,342000,85254,1570,3,2
5940660,1/17/2020,582000,85259,2683,4,2.5
5940460,1/24/2020,3350000,85258,7536,6,6.5
5988213,1/17/2020,339900,85395,2005,4,2
5940668,1/14/2020,149999,85202,988,3,1
5940861,1/27/2020,117125,85382,729,2,1
5942102,1/10/2020,575000,85014,2211,3,2
5940852,1/15/2020,340000,85255,1729,3,2
5940977,1/17/2020,559500,85119,2326,3,2
5942517,1/24/2020,140000,85016,902,1,1
5941063,1/24/2020,365000,85022,1941,4,2
5941245,1/28/2020,255000,85395,2807,4,3.5
5941536,1/13/2020,165000,85361,961,2,2
5942224,1/14/2020,330000,85012,1169,2,2
5941253,1/15/2020,1200000,85213,4565,5,5.5
5942808,1/2/2020,370000,85310,2433,4,3
5943349,1/15/2020,325000,85373,1853,2,2.5
5941878,1/30/2020,418000,85338,2780,3,2.5
5941959,1/24/2020,387000,85310,2566,5,4
5942218,1/13/2020,320000,85086,1638,3,2
5951569,1/31/2020,233000,85004,1277,2,2
5942121,1/28/2020,825000,85259,3643,4,3.5
5942384,1/2/2020,240000,85323,1701,4,2
5952086,1/15/2020,501000,85083,4806,5,4.5
5942779,1/3/2020,269000,85118,1761,2,2
5942777,1/16/2020,1200000,85251,2400,3,4.5
5952485,1/9/2020,355000,85233,2004,3,2
5943529,1/30/2020,425000,85086,2503,3,2.5
5943461,1/24/2020,409000,85361,3310,3,2
5943490,1/31/2020,335000,85142,2222,3,2.5
5944000,1/31/2020,303236,85207,2222,4,3.5
5943567,1/17/2020,360000,85028,2211,4,2
5965133,1/14/2020,1650000,85259,5672,5,5.5
5953940,1/6/2020,320000,85248,1810,3,2
5944383,1/21/2020,530000,85014,2130,3,2
5943968,1/2/2020,140000,85323,1298,4,1.75
5944960,1/6/2020,550000,85251,1598,2,2
5944155,1/23/2020,405000,85085,2635,4,3
5944268,1/31/2020,268000,85255,1273,2,2.5
5944668,1/15/2020,290000,85203,1442,3,2
5945104,1/27/2020,364460,85286,2285,3,2.5
5944776,1/17/2020,315000,85308,2146,4,3
5944495,1/9/2020,665000,85310,4173,4,4.5
5946725,1/9/2020,975000,85340,5375,6,5.75
5945863,1/31/2020,258000,85383,1982,3,2.5
5944858,1/3/2020,360000,85395,2154,2,2
5947251,1/30/2020,1090000,85255,3968,3,3.5
5945725,1/29/2020,224000,85338,1220,2,2
5945193,1/15/2020,279990,85326,2383,3,2.5
5945260,1/2/2020,202000,85043,1500,4,2
5965854,1/7/2020,545000,85255,2663,3,3
5945438,1/10/2020,740000,85018,2392,4,3
5945622,1/7/2020,560000,85203,3550,5,4
5945656,1/29/2020,395000,85020,1674,3,2
5945667,1/23/2020,335200,85286,2060,3,2.5
5945673,1/27/2020,328560,85286,2109,3,2.5
5946216,1/23/2020,2518500,85248,5770,5,6
6012502,1/14/2020,319900,85224,1750,3,2
5950784,1/28/2020,1049000,85262,4302,4,2.5
5946170,1/23/2020,335860,85286,2019,3,2.5
5946184,1/24/2020,333095,85286,2060,3,2.5
5946225,1/6/2020,326530,85355,2481,4,2
5946376,1/22/2020,174900,85031,963,3,1
5946332,1/30/2020,390731,85018,2160,3,2.5
5950243,1/10/2020,410000,85140,1929,2,2
5946438,1/29/2020,1005288,85297,4292,4,4.5
5946606,1/30/2020,145000,85351,998,2,1
5946488,1/24/2020,840000,85022,7974,5,5.5
5946613,1/17/2020,219000,85354,2016,4,2
5946696,1/31/2020,334000,85207,1801,3,2
5946729,1/31/2020,487500,85254,2055,2,2.5
5946711,1/9/2020,320000,85387,1575,3,2
5965275,1/29/2020,600000,85383,4167,5,3
5947025,1/29/2020,35000,85022,1344,2,2
5946956,1/16/2020,255000,85302,2282,4,2
5952487,1/9/2020,518000,85118,2025,3,2
5958889,1/25/2020,575000,85298,3172,5,3.5
5947170,1/2/2020,149900,85202,987,3,1
5947183,1/23/2020,135000,85013,852,1,1
5949839,1/3/2020,395000,85212,2913,5,3
5947463,1/7/2020,187000,85033,1374,3,1.75
6009887,1/29/2020,243500,85254,1098,2,2
5947510,1/15/2020,1098100,85331,4551,5,5.5
5948918,1/14/2020,505000,85119,2593,3,2.5
5947742,1/9/2020,1155000,85020,4614,5,3.5
5949238,1/24/2020,51000,85119,1568,4,2
5978195,1/27/2020,255000,85224,2000,3,2
5948016,1/30/2020,345000,85340,2564,3,2
5982545,1/23/2020,225000,85202,1963,3,2.5
5966955,1/22/2020,366000,85298,2065,2,2
5949234,1/17/2020,518500,85268,3968,4,3.5
5948792,1/31/2020,317000,85281,1735,3,2
5949033,1/10/2020,585000,85383,2590,4,3
5956820,1/22/2020,436000,85331,2286,3,2
5954231,1/6/2020,685000,85263,2316,3,2.5
5956069,1/3/2020,1200000,85255,3030,4,2.5
5950267,1/6/2020,480000,85142,2619,5,3
5998613,1/10/2020,145000,85378,1393,3,2
5957764,1/22/2020,360000,85225,1906,4,2
5951500,1/9/2020,883500,85381,3958,4,4.5
5949990,1/24/2020,310000,85383,2640,5,3
5950969,1/21/2020,238500,85016,1258,2,1
5951627,1/22/2020,700000,85383,3385,4,4
5949935,1/27/2020,256098,85308,1600,3,2.5
5952096,1/31/2020,710000,85254,1270,2,2
5952471,1/17/2020,535000,85331,2286,3,2
5951514,1/31/2020,435000,85381,4011,5,3.5
5950250,1/3/2020,325000,85207,1760,3,2
5957666,1/28/2020,133000,85120,1576,2,2
5987640,1/17/2020,525000,85255,2467,3,2
5951018,1/12/2020,735000,85383,3776,5,3
5952366,1/3/2020,85500,85119,1920,3,2
5950587,1/6/2020,223000,85303,1646,3,2
5952838,1/6/2020,435000,85340,4061,5,4.5
5951070,1/3/2020,360000,85054,1697,2,2
5959189,1/13/2020,260000,85249,1584,2,2
5951371,1/31/2020,268800,85249,1258,2,2
5951678,1/23/2020,299900,85308,1435,3,2
5958732,1/10/2020,667500,85248,4324,5,4.5
6010948,1/7/2020,245000,85037,1626,3,2
5951637,1/3/2020,375000,85024,3182,5,2.5
5951644,1/31/2020,765000,85021,3047,4,3.5
5951909,1/22/2020,620000,85215,4524,4,4
5956103,1/13/2020,285000,85007,1528,3,1
5954112,1/29/2020,315000,85028,1888,4,2
5955964,1/6/2020,297000,85379,2418,4,2.5
5958110,1/15/2020,298000,85373,1827,2,2
5952374,1/18/2020,985000,85012,3750,4,4
5952574,1/31/2020,645026,85249,3509,5,3.5
6006645,1/2/2020,242500,85392,1950,4,2.5
5952631,1/10/2020,438034,85212,2507,3,2.5
5953187,1/28/2020,354999,85023,3418,8,3
5952770,1/10/2020,266490,85355,1912,4,2
5970345,1/24/2020,299900,85388,2950,4,2.5
5972795,1/30/2020,221000,85351,1638,2,2
5952953,1/15/2020,269690,85355,1613,3,2
5952961,1/14/2020,255290,85355,1613,3,2
5952974,1/3/2020,279490,85355,2027,4,3
5953096,1/27/2020,520000,85355,4862,5,3
5953054,1/24/2020,389990,85388,3199,4,3.5
5953117,1/30/2020,123000,85213,1073,2,2
5973734,1/13/2020,307990,85387,1658,3,2
5954593,1/27/2020,90000,85345,841,2,1
5953419,1/16/2020,340000,85396,2323,2,2
5953191,1/16/2020,453995,85212,2405,4,3
6007547,1/17/2020,264990,85387,1512,3,2
5953356,1/29/2020,309000,85361,2400,3,2
5953610,1/14/2020,415000,85207,2389,4,3
5953462,1/27/2020,298195,85142,1958,3,3
5981108,1/22/2020,292250,85140,2942,5,2.5
5955967,1/10/2020,263000,85338,2232,4,2.5
5954051,1/3/2020,465000,85248,3166,3,2.5
5958900,1/21/2020,395000,85268,1971,3,3
5954858,1/2/2020,515000,85207,3654,5,3
